Country,Address,mts2,mts2_house,Bathrooms,Bedrooms,Price
Godoy Cruz,Mendoza,200.0,112.0,2.0,3.0,70000.0
Godoy Cruz,Mendoza,277.0,347.0,4.0,5.0,140000.0
Godoy Cruz,Mendoza,282.0,186.0,3.0,3.0,116000.0
Godoy Cruz,Mendoza,112.0,76.0,1.0,2.0,73000.0
Godoy Cruz,Mendoza,197.0,151.0,2.0,3.0,90000.0
Godoy Cruz,Mendoza,163.0,264.0,3.0,4.0,153000.0
Godoy Cruz,Mendoza,270.0,250.0,4.0,5.0,230000.0
Godoy Cruz,Mendoza,524.0,213.0,1.0,2.0,76000.0
Godoy Cruz,Mendoza,200.0,155.0,2.0,4.0,86000.0
Godoy Cruz,Mendoza,473.0,193.0,2.0,4.0,135000.0
Godoy Cruz,Mendoza,275.0,109.0,2.0,3.0,70000.0
Godoy Cruz,Mendoza,254.0,134.0,1.0,2.0,45000.0
Godoy Cruz,Mendoza,187.0,220.0,2.0,5.0,62000.0
Godoy Cruz,Mendoza,1290.0,558.0,5.0,7.0,330000.0
Godoy Cruz,Mendoza,90.0,142.0,2.0,3.0,96000.0
Godoy Cruz,Mendoza,260.0,160.0,2.0,4.0,48500.0
Godoy Cruz,Mendoza,85.0,75.0,1.0,2.0,29000.0
Godoy Cruz,Mendoza,266.0,91.0,1.0,2.0,90000.0
Godoy Cruz,Mendoza,420.0,245.0,8.0,4.0,360000.0
Godoy Cruz,Mendoza,220.0,142.0,1.0,3.0,79000.0
Godoy Cruz,Mendoza,276.0,207.0,2.0,3.0,92000.0
Godoy Cruz,Mendoza,238.0,146.0,2.0,3.0,63000.0
Godoy Cruz,Mendoza,260.0,170.0,3.0,3.0,125000.0
Godoy Cruz,Mendoza,200.0,53.0,1.0,2.0,27000.0
Godoy Cruz,Mendoza,220.0,155.0,1.0,3.0,47000.0
Godoy Cruz,Mendoza,212.0,141.0,2.0,4.0,40000.0
Godoy Cruz,Mendoza,120.0,150.0,2.0,3.0,85000.0
Godoy Cruz,Mendoza,210.0,135.0,2.0,3.0,89000.0
Godoy Cruz,Mendoza,206.0,140.0,1.0,3.0,38000.0
Godoy Cruz,Mendoza,495.0,326.0,4.0,5.0,170000.0
Godoy Cruz,Mendoza,250.0,215.0,3.0,3.0,115000.0
Godoy Cruz,Mendoza,270.0,250.0,4.0,5.0,230000.0
Godoy Cruz,Mendoza,232.0,160.0,1.0,2.0,47500.0
Godoy Cruz,Mendoza,253.0,140.0,3.0,3.0,155000.0
Godoy Cruz,Mendoza,316.0,118.0,1.0,3.0,70000.0
Godoy Cruz,Mendoza,102.0,173.0,2.0,3.0,60000.0
Godoy Cruz,Mendoza,120.0,120.0,1.0,3.0,82000.0
Godoy Cruz,Mendoza,230.0,175.0,3.0,4.0,155000.0
Godoy Cruz,Mendoza,420.0,350.0,4.0,4.0,350000.0
Godoy Cruz,Mendoza,127.0,80.0,2.0,3.0,62000.0
Godoy Cruz,Mendoza,100.0,150.0,4.0,6.0,150000.0
Godoy Cruz,Mendoza,220.0,127.0,1.0,2.0,85000.0
