,Country,Address,mts2,mts2_house,Bathrooms,Bedrooms,Price
0,Capital,Mendoza,300m2,175m2,3,3,US$ 215.000
1,Capital,Mendoza,120m2,110m2,2,4,US$ 180.000
2,Capital,Mendoza,143m2,200m2,4,4,US$ 150.000
3,Capital,Mendoza,273m2,273m2,4,1,US$ 210.000
4,Capital,Mendoza,596m2,308m2,4,4,US$ 340.000
5,Capital,Mendoza,300m2,265m2,4,4,US$ 370.000
6,Capital,Mendoza,452m2,452m2,4,3,US$ 390.000
7,Capital,Mendoza,433m2,300m2,4,4,US$ 265.000
8,Capital,Mendoza,197m2,127m2,3,3,US$ 299.000
9,Capital,Mendoza,265m2,211m2,2,4,US$ 57.000
10,Capital,Mendoza,450m2,400m2,4,5,US$ 450.000
11,Capital,Mendoza,111m2,108m2,3,3,US$ 170.000
12,Capital,Mendoza,360m2,170m2,3,3,US$ 360.000
13,Capital,Mendoza,205m2,205m2,2,3,US$ 285.000
14,Capital,Mendoza,450m2,208m2,3,3,US$ 295.000
15,Capital,Mendoza,341m2,321m2,3,4,US$ 360.000
16,Capital,Mendoza,602m2,383m2,7,6,US$ 600.000
17,Capital,Mendoza,340m2,300m2,3,4,US$ 298.000
18,Capital,Mendoza,660m2,390m2,4,4,US$ 500.000
19,Capital,Mendoza,800m2,450m2,4,4,US$ 430.000
20,Capital,Mendoza,228m2,228m2,3,5,US$ 230.000
21,Capital,Mendoza,357m2,324m2,2,4,US$ 225.000
22,Capital,Mendoza,274m2,125m2,1,4,US$ 68.000
23,Capital,Mendoza,237m2,185m2,2,3,US$ 90.000
24,Capital,Mendoza,402m2,260m2,5,4,US$ 130.000
25,Capital,Mendoza,166m2,205m2,4,5,US$ 135.000
26,Capital,Mendoza,90m2,90m2,2,3,US$ 92.000
27,Capital,Mendoza,140m2,308m2,1,3,US$ 82.000
28,Capital,Mendoza,350m2,160m2,2,3,US$ 159.000
29,Capital,Mendoza,532m2,220m2,3,3,US$ 320.000
30,Capital,Mendoza,108m2,83m2,1,3,US$ 23.000
31,Capital,Mendoza,311m2,155m2,3,4,US$ 95.000
32,Capital,Mendoza,271m2,194m2,3,3,US$ 100.000
33,Capital,Mendoza,900m2,500m2,6,5,US$ 400.000
34,Capital,Mendoza,600m2,290m2,3,4,US$ 300.000
35,Capital,Mendoza,350m2,155m2,2,3,US$ 215.000
36,Capital,Mendoza,200m2,300m2,3,4,US$ 250.000
37,Capital,Mendoza,105m2,120m2,2,3,US$ 120.000
38,Capital,Mendoza,570m2,550m2,4,4,US$ 390.000
39,Capital,Mendoza,570m2,340m2,5,4,US$ 310.000
40,Capital,Mendoza,465m2,306m2,4,9,US$ 300.000
41,Capital,Mendoza,300m2,200m2,2,3,US$ 90.000
42,Capital,Mendoza,1000m2,660m2,5,5,US$ 450.000
43,Capital,Mendoza,300m2,212m2,3,3,US$ 270.000
44,Capital,Mendoza,300m2,250m2,3,4,US$ 340.000
45,Capital,Mendoza,290m2,260m2,3,3,US$ 245.000
46,Capital,Mendoza,300m2,175m2,3,3,US$ 215.000
47,Capital,Mendoza,120m2,110m2,2,4,US$ 180.000
48,Capital,Mendoza,143m2,200m2,4,4,US$ 150.000
49,Capital,Mendoza,273m2,273m2,4,1,US$ 210.000
50,Capital,Mendoza,596m2,308m2,4,4,US$ 340.000
51,Capital,Mendoza,300m2,265m2,4,4,US$ 370.000
