,Country,Address,mts2,mts2_house,Bathrooms,Bedrooms,Price
0,Capital,Mendoza,300.0,175.0,3.0,3.0,215000.0
1,Capital,Mendoza,120.0,110.0,2.0,4.0,180000.0
2,Capital,Mendoza,143.0,200.0,4.0,4.0,150000.0
3,Capital,Mendoza,273.0,273.0,4.0,1.0,210000.0
4,Capital,Mendoza,596.0,308.0,4.0,4.0,340000.0
5,Capital,Mendoza,300.0,265.0,4.0,4.0,370000.0
6,Capital,Mendoza,452.0,452.0,4.0,3.0,390000.0
7,Capital,Mendoza,433.0,300.0,4.0,4.0,265000.0
8,Capital,Mendoza,197.0,127.0,3.0,3.0,299000.0
9,Capital,Mendoza,265.0,211.0,2.0,4.0,57000.0
10,Capital,Mendoza,450.0,400.0,4.0,5.0,450000.0
11,Capital,Mendoza,111.0,108.0,3.0,3.0,170000.0
12,Capital,Mendoza,360.0,170.0,3.0,3.0,360000.0
13,Capital,Mendoza,205.0,205.0,2.0,3.0,285000.0
14,Capital,Mendoza,450.0,208.0,3.0,3.0,295000.0
15,Capital,Mendoza,341.0,321.0,3.0,4.0,360000.0
16,Capital,Mendoza,602.0,383.0,7.0,6.0,600000.0
17,Capital,Mendoza,340.0,300.0,3.0,4.0,298000.0
18,Capital,Mendoza,660.0,390.0,4.0,4.0,500000.0
19,Capital,Mendoza,800.0,450.0,4.0,4.0,430000.0
20,Capital,Mendoza,228.0,228.0,3.0,5.0,230000.0
21,Capital,Mendoza,357.0,324.0,2.0,4.0,225000.0
22,Capital,Mendoza,274.0,125.0,1.0,4.0,68000.0
23,Capital,Mendoza,237.0,185.0,2.0,3.0,90000.0
24,Capital,Mendoza,402.0,260.0,5.0,4.0,130000.0
25,Capital,Mendoza,166.0,205.0,4.0,5.0,135000.0
26,Capital,Mendoza,90.0,90.0,2.0,3.0,92000.0
27,Capital,Mendoza,140.0,308.0,1.0,3.0,82000.0
28,Capital,Mendoza,350.0,160.0,2.0,3.0,159000.0
29,Capital,Mendoza,532.0,220.0,3.0,3.0,320000.0
30,Capital,Mendoza,108.0,83.0,1.0,3.0,23000.0
31,Capital,Mendoza,311.0,155.0,3.0,4.0,95000.0
32,Capital,Mendoza,271.0,194.0,3.0,3.0,100000.0
33,Capital,Mendoza,900.0,500.0,6.0,5.0,400000.0
